srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
175.45.176.0,65451,149.171.126.11,179,tcp,FIN,0.382148,7858,268,254,252,4,1,-,152757.5781,4689.282715,14,6,255,255,3825227327,1235108141,561,45,0,0,1686.775124,87.821758,1421928604,1421928605,29.395999,64.474,0.106972,0.059065,0.047907,0,1,0,0,0,5,4,2,2,2,1,2, Fuzzers,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,1e-06,114,0,254,0,0,0,dns,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421933512,1421933512,0.001,0.0,0.0,0.0,0.0,0,2,0,0,0,7,7,4,4,4,4,4,Generic,1
175.45.176.2,58732,149.171.126.15,21,tcp,FIN,1.967921,1150,1528,62,252,7,8,-,4463.59375,5902.675781,22,20,255,255,506952905,820780222,52,76,0,0,4504.436522,136.342328,1421932744,1421932745,93.710527,98.548789,0.178225,0.074644,0.103581,0,1,0,0,0,2,2,2,2,1,1,2,Exploits,1
59.166.0.8,58500,149.171.126.8,111,udp,CON,0.004674,568,320,31,29,0,0,-,729139.875,410783.0313,4,4,0,0,0,0,142,80,0,0,1.68763,1.493174,1421935297,1421935297,1.200333,1.064333,0.0,0.0,0.0,0,0,0,0,0,16,6,2,10,2,1,2,,0
59.166.0.2,42658,149.171.126.5,6881,tcp,FIN,0.018887,1540,1644,31,29,4,4,-,611637.625,657806.9375,16,18,255,255,3812070709,3813692626,96,91,0,0,75.958863,2.064746,1421928305,1421928305,1.2382,1.083,0.000591,0.00047,0.000121,0,0,0,0,0,11,7,7,3,3,1,3,,0
59.166.0.4,4428,149.171.126.2,53,udp,CON,0.001051,146,178,31,29,0,0,dns,555661.3125,677450.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421952832,1421952832,0.011,0.008,0.0,0.0,0.0,0,0,0,0,0,5,3,2,3,2,1,1,,0
175.45.176.2,40085,149.171.126.11,80,tcp,FIN,0.363054,764,6366,62,252,2,4,http,15160.2793,128597.9453,10,12,255,255,451858950,2388789740,76,531,0,0,1978.82052,2006.480395,1421928803,1421928804,40.339333,29.606182,0.082551,0.036655,0.045896,0,1,0,0,0,2,1,2,1,1,1,1,Exploits,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421933780,1421933780,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,8,8,7,7,7,4,7,Generic,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932967,1421932967,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,7,7,5,4,4,4,4,Generic,1
175.45.176.1,59803,149.171.126.12,59850,tcp,FIN,1.787807,450,33902,62,252,1,13,-,1812.276123,146646.7031,10,30,255,255,2691029549,2073980119,45,1130,0,0,14283.37576,7846.732102,1421933191,1421933193,198.645222,57.515964,0.205863,0.118034,0.087829,0,1,0,0,0,3,3,2,2,1,1,2,Exploits,1
59.166.0.9,44974,149.171.126.4,44383,tcp,FIN,0.031011,3390,42312,31,29,7,22,-,859050.0,10727290.0,56,58,255,255,2211026603,2211320300,61,730,0,0,32.772899,31.825711,1421954165,1421954165,0.5576,0.523825,0.001271,0.001142,0.000129,0,0,0,0,0,14,11,2,10,1,1,1,,0
175.45.176.2,63501,149.171.126.14,111,udp,INT,1e-05,168,0,254,0,0,0,-,67200000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421931222,1421931222,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
59.166.0.4,11044,149.171.126.3,5190,tcp,FIN,0.005706,2054,2478,31,29,6,6,-,2749386.5,3329828.25,22,24,255,255,1562681110,1562914670,93,103,0,0,15.627781,13.343772,1421929443,1421929443,0.255286,0.225174,0.000673,0.000521,0.000152,0,0,0,0,0,5,14,4,2,1,1,1,,0
175.45.176.1,39122,149.171.126.14,25,tcp,FIN,2.304141,20305,1970,62,252,14,8,smtp,68426.36719,6555.154297,34,24,255,255,604600047,805303148,597,82,0,0,4889.502278,129.589609,1421931354,1421931356,69.818725,96.628563,0.145088,0.081674,0.063414,0,1,0,0,0,3,2,1,8,2,1,1,DoS,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,1e-06,114,0,254,0,0,0,dns,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421932004,1421932004,0.001,0.0,0.0,0.0,0.0,0,2,0,0,0,12,12,5,5,5,2,5,Generic,1
175.45.176.1,47439,149.171.126.18,53,udp,INT,1e-05,114,0,254,0,0,0,dns,45600000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421933820,1421933820,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,14,14,7,7,7,4,7,Generic,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421931016,1421931016,0.009,0.0,0.0,0.0,0.0,0,2,0,0,0,11,11,4,3,3,3,3,Generic,1
175.45.176.1,1043,149.171.126.18,53,udp,INT,1.1e-05,114,0,254,0,0,0,dns,41454544.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421931414,1421931414,0.011,0.0,0.0,0.0,0.0,0,2,0,0,0,8,8,3,3,3,3,3,Generic,1
149.171.126.18,1043,175.45.176.1,53,udp,INT,5e-06,264,0,60,0,0,0,dns,211200000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1421933747,1421933747,0.005,0.0,0.0,0.0,0.0,0,0,0,0,0,6,6,4,4,4,2,4,,0
59.166.0.6,52597,149.171.126.6,18064,tcp,FIN,0.022949,3390,44134,31,29,7,22,-,1160834.875,15120135.0,56,58,255,255,889711491,3039613725,61,761,0,0,22.990567,22.668203,1421930433,1421930433,0.411291,0.391526,0.000761,0.000622,0.000139,0,0,0,0,0,3,2,2,5,1,1,2,,0
59.166.0.2,22082,149.171.126.9,143,tcp,FIN,0.03946,7816,15940,31,29,30,32,-,1571616.875,3206082.25,122,126,255,255,3746615316,3747594188,64,127,0,0,20.60533,17.730647,1421943352,1421943352,0.323223,0.31168,0.000629,0.000496,0.000133,0,0,0,0,0,10,5,6,5,1,1,1,,0
59.166.0.6,19731,149.171.126.0,63682,tcp,FIN,0.024362,2646,24004,31,29,7,15,-,848206.25,7703472.5,42,44,255,255,2008958544,4172665166,63,546,0,0,37.921409,39.195646,1421939025,1421939025,0.582219,0.55386,0.000707,0.000542,0.000165,0,0,0,0,0,9,7,5,10,1,1,4,,0
